Retort ID,tags,retort,who,what,when,where
48,Bush,"Tribal sovereignty means that; it's sovereign. I mean, you're a -- you've been given sovereignty, and you're viewed as a sovereign entity. And therefore the relationship between the federal government and tribes is one between sovereign entities.",George W. Bush,,6-Aug-2004,"Washington, D.C."
49,Bush,We both use Colgate toothpaste.,George W. Bush,After a reporter asked what he had in common with British Prime Minister Tony Blair,23-Feb-2001,"Camp David, MD"
50,Bush,"You teach a child to read, and he or her will be able to pass a literacy test.",George W. Bush,,21-Feb-2001,"Townsend, TN"
51,Bush,"We spent a lot of time talking about Africa, as we should. Africa is a nation that suffers from incredible disease.",George W. Bush,,14-Jun-2001,"Gothenburg, Sweden"
52,Bush,"If this were a dictatorship, it'd be a heck of a lot easier, just so long as I'm the dictator.",George W. Bush,,19-Dec-2000,"Washington, D.C."
53,Bush,Those weapons of mass destruction have got to be somewhere!,George W. Bush,Joking about his administration's failure to find WMDs in Iraq as he narrated a comic slideshow during the Radio & TV Correspondents' Association dinner,24-Mar-2004,"Washington, D.C."
54,Bush,"We found the weapons of mass destruction. We found biological laboratories ... And we'll find more weapons as time goes on. But for those who say we haven't found the banned manufacturing devices or banned weapons, they're wrong, we found them.",George W. Bush,,30-May-2003,"Washington, D.C."
55,Bush,"Major combat operations in Iraq have ended. In the battle of Iraq, the United States and our allies have prevailed.",George W. Bush,Speaking underneath a Mission Accomplished banner aboard the USS Abraham Lincoln,1-May-2003,
56,Bush,"I trust God speaks through me. Without that, I couldn't do my job.",George W. Bush,To a group of Amish he met with privately,9-Jul-2004,
57,Insult,"100,000 sperm to choose from, and you were the fastest.",,,,
58,Insult,"Do not walk ahead of me, for I may not follow.",,,,
59,Insult,"Do not walk behind me, for I may not lead.",,,,
60,Insult,"Do not walk beside me, either.",,,,
61,Insult,"I don't know what your problem is, but I'll bet it's hard to pronounce.",,,,
62,Insult,"I may be fat, but you're ugly, and I can diet.",,,,
63,Insult,I never forget a face...but in your case I'll make an exception!,,,,
64,Insult,"I'm not cheap, but I am on special this week.",,,,
65,Insult,I'm trying to imagine you with a personality.,,,,
66,Insult,"If you had your life to live over again, do it overseas.",,,,
67,Insult,Just leave me the heck alone.,,,,
68,Insult,Nice perfume. Must you marinate in it?,,,,
69,Insult,Save your breath.  You'll need it to blow up your date.,,,,
70,Insult,"The more I think of you, the less I think of you.",,,,
71,Insult,What am I? Flypaper for freaks?,,,,
72,Insult,"Whatever kind of look you were going for, you missed.",,,,
73,Insult,"Where did you get your haircut, the pet shop?",,,,
74,Insult,Why don't you slip into something more comfortable...like a coma.,,,,
75,Insult,You look like a million bucks! (All green and wrinkled.),,,,
76,Insult,You look like a talent scout for a cemetery.,,,,
77,Pickup Line," ""I'm on fire, can I run through your sprinkler?""",,,,
78,Pickup Line, (Lick finger than touch girl's clothing) Let's get you out of those wet clothes.,,,,
79,Pickup Line," (With hands on shoulders) Oh, those are shoulder blades, I thought they were wings.",,,,
80,Pickup Line," [Look at her shirt label. When they say, ""What are you doing?""] Checking to see if you were made in heaven.",,,,
81,Pickup Line, Are you as good as your mother?,,,,
82,Pickup Line, Are you from Tennessee? Because you're the only ten I see!,,,,
83,Pickup Line,"""As you walk by, turn around and say: Excuse me, did you just touch my ass? No. Damn!""",,,,
84,Pickup Line," Baby I'm like milk, I'll do your body good.",,,,
85,Pickup Line, Didn't I do your sister?,,,,
86,Pickup Line," Do I know you from somewhere, because I don't recognize you with your clothes on?",,,,
87,Pickup Line, Do you believe in helping the homeless? [If yes] Take me home with you.,,,,
88,Pickup Line," Do you believe in love at first sight, or should I walk by again?",,,,
89,Pickup Line," Do you have a boyfriend? Well when you want a MAN-friend, come and talk to me!",,,,
90,Pickup Line, Do you have any Irish in you? (if no...) Would you like some? (if yes...) Want some more?,,,,
91,Pickup Line," Do you have the time? [Gives the time] No, the time to write down my number?",,,,
92,Pickup Line, Do you know the difference between a hamburger and a blow-job? [No!] Do you want to do lunch?,,,,
93,Pickup Line, Do you know the essential difference between sex and conversation? (No.) Do you wanna go upstairs and talk.,,,,
94,Pickup Line, Do you mind if I stare at you up close instead of from across the room?,,,,
95,Pickup Line, Do you sleep on your stomach? Can I?,,,,
96,Pickup Line, Do you want to see something swell?,,,,
97,Pickup Line," Excuse me, but I think I dropped something!!! MY JAW!!",,,,
98,Pickup Line," Excuse me, I am about to go home to masturbate and needed a name to go with the face.",,,,
99,Pickup Line," Excuse me, I'm looking for a friend...do you want to be my friend?",,,,
100,Pickup Line," F**k me if I am wrong, but isn't your name Gretchen?",,,,
101,Pickup Line," For a fat chick, you sure have small tits.",,,,
102,Pickup Line, Forget that! Playing doctor is for kids! Let's play gynecologist,,,,
103,Pickup Line," Fuck me if I'm wrong, but haven't we met before?",,,,
104,Pickup Line," Fuck me if I'm wrong, but isn't your name Gretchen?",,,,
105,Pickup Line," Gee, for a fat girl you sure don't sweat much.",,,,
106,Pickup Line," Go up to a girl, ask her- ""Do you know what winks and screws like a tiger?"" She says no. Then wink.",,,,
107,Pickup Line, Have you ever kissed a rabbit between the ears?(Pull your pockets inside out....) Would u like to?,,,,
108,Pickup Line," Hey babe, wanna get LUCKY!?",,,,
109,Pickup Line," Hey babe, wanna make an easy fifty bucks?",,,,
110,Pickup Line, Hey baby lets play army I'll lay down you can blow me up.,,,,
111,Pickup Line," Hey baby, can I tickle your belly button from the inside?",,,,
112,Pickup Line, Hey that dress looks nice. Can I talk you out of it.,,,,
113,Pickup Line, Hey...somebody farted. Let's get out of here.,,,,
114,Pickup Line," Hi, I just wanted to give you the satisfaction of turning me down; go ahead say no.",,,,
115,Pickup Line," Hi, I've been undressing you with my eyes all night long, and think it's time to see if I'm right.",,,,
116,Pickup Line," Hold out two fingers and say- ""Why should a woman masturbate with these two fingers?"" (I don't know.) ""Cause they're mine sweetheart.""",,,,
117,Pickup Line, How about you sit on my lap and we'll see what pops up?,,,,
118,Pickup Line," I don't know what you think of me, but I hope it's X-rated.",,,,
119,Pickup Line, I have a two minute recovery time.,,,,
120,Pickup Line," I have had a really bad day and it always makes me feel better to see a pretty girl smile. So, would you smile for me?",,,,
121,Pickup Line, I just wanted to show this rose how incredibly beautiful you are!,,,,
122,Pickup Line, I love every bone in your body - especially mine.,,,,
123,Pickup Line," I may not be Fred Flinstone, but I sure can make your bed rock.",,,,
124,Pickup Line, I miss my teddy bear. Would you sleep with me?,,,,
125,Pickup Line," I want to kiss you passionately on the lips, and then move up to your belly-button.",,,,
126,Pickup Line," I want to melt in your mouth, not in your hand",,,,
127,Pickup Line, I'll bet you #50 I could get all your clothes off in 30 seconds.,,,,
128,Pickup Line, I'm a frog but if u kiss me I'll turn into a prince,,,,
129,Pickup Line," I'm an organ donor, and I have an organ you might need",,,,
130,Pickup Line, I'm new in town. Could you give me directions to your apartment?,,,,
131,Pickup Line," I'm sorry, were you talking to me? Her- No. Well then, please start.",,,,
132,Pickup Line, I've got the hot dog and you got the buns.,,,,
133,Pickup Line, I've just received government funding for a four-hour expedition to find your G-spot.,,,,
134,Pickup Line," I've seem to have lost my number, can I have yours?",,,,
135,Pickup Line," If a women asks, ""Excuse me, do you have the time?"" You should answer- ""Yeah! Do you have the energy?""",,,,
136,Pickup Line, If I could rearrange the alphabet I'd put U and I together,,,,
137,Pickup Line," If I followed you home, would you keep me?",,,,
138,Pickup Line," If I told you that you had a nice body, would you hold it against me?",,,,
139,Pickup Line," If you and I were squirrels, could I bust a nut in your hole?",,,,
140,Pickup Line, If your left is thanksgiving and your right leg is Christmas can I visit you in-between the holidays,,,,
141,Pickup Line, Inheriting eighty million bucks doesn't mean much when you have a weak heart.,,,,
142,Pickup Line, Is it hot in here or is it just you?,,,,
143,Pickup Line, Is that a mirror in your pants because I can see myself in them.,,,,
144,Pickup Line, Is that a mirror in your pocket? Because I can see my-self in your pants.,,,,
145,Pickup Line," Is there a Rainbow, because you're the treasure I've been searching for.",,,,
146,Pickup Line, Is there an airport nearby or is that just my heart taking off?,,,,
147,Pickup Line," Is you father a lumberjack [No, why?] Because when ever I look at you, I get wood in my pants.",,,,
148,Pickup Line, Is your name Gillette? ...because you're the best a man can get.,,,,
149,Pickup Line," Motion with your finger for a girl to come over. When she gets there say, ""I knew if I fingered you long enough you would cum.""",,,,
150,Pickup Line," Nice dress, it'd look good on my bedroom floor",,,,
151,Pickup Line," Say, did we go to different schools together?",,,,
152,Pickup Line," Say, did we go to different schools together?",,,,
153,Pickup Line, Shall we talk or continue flirting from a distance?,,,,
154,Pickup Line, So do ya wanna see something really swell?,,,,
155,Pickup Line," Take an ice cube to the bar, smash it, and say, ""Now that I've broken the ice, lets talk""",,,,
156,Pickup Line, That dress looks real becoming on you. Of course if I was that dress I'd be coming too.,,,,
157,Pickup Line, The only thing that matters is that we're together.,,,,
158,Pickup Line," The word of the day is ""legs."" Let's go back to my place and spread the word.",,,,
159,Pickup Line," There are 206 bones in the human body, want one more?",,,,
160,Pickup Line," There must be something wrong with my eyes, I can't take them off you.",,,,
161,Pickup Line," Wait until the end of the evening when everything is real hazy and alcohol soaked, walk up to someone you've never met and say, ""Come on, we're leaving."" (The key is to act like you know them.)",,,,
162,Pickup Line, Want to come into the garden see my big juicy tomatoes? (female version),,,,
163,Pickup Line," ""What do you say we go back to my room and do some math: Add a bed, subtract our clothes, divide your legs, and multiply.""",,,,
164,Pickup Line, What is a nice girl like you doing in a dirty mind like mine?,,,,
165,Pickup Line, Why don't we go back to my place and do the things I'm going to tell people we did anyway?,,,,
166,Pickup Line, Would you like to see my circumcision scar?,,,,
167,Pickup Line, Wow! Are those real?,,,,
168,Pickup Line, Yo. You'll do.,,,,
169,Pickup Line, You are so beautiful that I would crawl ten miles on my hands and knees through broken glass just to jerk off in your shadow.,,,,
170,Pickup Line, You know what would look good on you? Me,,,,
171,Pickup Line," You know, you're very easy on the eyes...and very hard on my erection.",,,,
172,Pickup Line, You see my friend over there? [Point to friend who sheepishly waves from afar] He wants to know if YOU think I'M cute.,,,,
173,Pickup Line, You've got to refer me to your plastic surgeon,,,,
174,Pickup Line, Your Daddy must be a farmer because you grew some nice melons?,,,,
175,Pickup Line,"Hey babe, how about a pizza and a fuck? [Slap] HEY! What's wrong, don't you like pizza?",,,,
176,Pickup Line,Hi. I suffer from amnesia. Do I come here often?,,,,
177,Pickup Line,Want to come into the garden see my big hard cucumbers? (male version),,,,
178,Movie Quote,"Frankly, my dear, I don't give a damn.",Clark Gable as Rhett Butler ,Gone with the Wind ,1941,
179,Movie Quote,I'm going to make him an offer he can't refuse.,Marlon Brando as Vito Corleone ,The Godfather ,1972,
180,Movie Quote,"You don't understand! I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",Marlon Brando as Terry Malloy ,On the Waterfront ,1954,
181,Movie Quote,"Toto, I've got a feeling we're not in Kansas anymore.",Judy Garland as Dorothy Gale ,The Wizard of Oz ,1939,
182,Movie Quote,"Here's looking at you, kid.",Humphrey Bogart as Rick Blaine ,Casablanca ,1942,
183,Movie Quote,"Go ahead, make my day.",Clint Eastwood as Harry Callahan ,Sudden Impact ,1983,
184,Movie Quote,"All right, Mr. DeMille, I'm ready for my close-up.",Gloria Swanson as Norma Desmond ,Sunset Boulevard ,1950,
185,James Bond,May the Force be with you.,Harrison Ford as Han Solo ,Star Wars ,1977,
186,Movie Quote,Fasten your seatbelts. It's going to be a bumpy night.,Bette Davis as Margo Channing ,All About Eve ,1950,
187,Movie Quote,You talkin' to me?,Robert De Niro as Travis Bickle ,Taxi Driver ,1976,
188,ET,What we've got here is failure to communicate.,Strother Martin as Captain ,Cool Hand Luke ,1967,
189,Movie Quote,I love the smell of napalm in the morning!,Robert Duvall as Lt. Col. Bill Kilgore ,Apocalypse Now ,1979,
190,Movie Quote,Love means never having to say you're sorry.,Ali McGraw as Jennifer Cavillari Barrett ,Love Story ,1970,
191,Movie Quote,The stuff that dreams are made of.,Humphrey Bogart as Sam Spade ,The Maltese Falcon ,1941,
192,Movie Quote,E.T. phone home.,Pat Welsh as E.T. ,E.T. the Extra-Terrestrial ,1982,
193,Movie Quote,They call me Mister Tibbs!,Sidney Poitier as Virgil Tibbs ,In the Heat of the Night ,1967,
194,Movie Quote,Rosebud.,Orson Welles as Charles Foster Kane ,Citizen Kane ,1941,
195,Movie Quote,"Made it, Ma! Top of the world!","James Cagney as Arthur ""Cody"" Jarrett ",White Heat ,1949,
196,Terminator,"I'm as mad as hell, and I'm not going to take this anymore!",Peter Finch as Howard Beale ,Network ,1976,
197,Movie Quote,"Louis, I think this is the beginning of a beautiful friendship.",Humphrey Bogart as Rick Blaine ,Casablanca ,1942,
198,"Movie Quote, The Shining",A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,Anthony Hopkins as Hannibal Lecter ,The Silence of the Lambs ,1991,
199,Movie Quote,Bond. James Bond.,Sean Connery[8] as James Bond ,Dr. No[9] ,1962,
200,"Quote, Astronaut, Trouble",There's no place like home.,Judy Garland as Dorothy Gale ,The Wizard of Oz ,1939,
201,Movie Quote,I am big! It's the pictures that got small.,Gloria Swanson as Norma Desmond ,Sunset Boulevard ,1950,
202,Movie Quote,Show me the money!,Cuba Gooding Jr. and Tom Cruise as Rod Tidwell and Jerry Maguire ,Jerry Maguire ,1996,
203,Movie Quote,Why don't you come up sometime and see me?,Mae West as Lady Lou ,She Done Him Wrong ,1933,
204,Movie Quote,I'm walking here! I'm walking here!,"Dustin Hoffman as ""Ratso"" Rizzo ",Midnight Cowboy ,1969,
205,Movie Quote,"Play it, Sam. Play 'As Time Goes By.'",Ingrid Bergman as Ilsa Lund ,Casablanca ,1942,
206,Movie Quote,You can't handle the truth!,Jack Nicholson as Col. Nathan Jessup ,A Few Good Men ,1992,
207,Movie Quote,I want to be alone.,Greta Garbo as Grusinskaya ,Grand Hotel ,1932,
208,Movie Quote,"After all, tomorrow is another day!",Vivien Leigh as Scarlett O'Hara ,Gone with the Wind ,1939,
209,Movie Quote,Round up the usual suspects.,Claude Rains as Capt. Louis Renault ,Casablanca ,1942,
210,Movie Quote,I'll have what she's having.,Estelle Reiner as Customer ,When Harry Met Sally... ,1989,
211,Movie Quote,"You know how to whistle, don't you, Steve? You just put your lips together and blow.","Lauren Bacall as Marie ""Slim"" Browning ",To Have and Have Not ,1944,
212,Movie Quote,You're gonna need a bigger boat.,Roy Scheider as Martin Brody ,Jaws ,1975,
213,Movie Quote,Badges? We ain't got no badges! We don't need no badges! I don't have to show you any stinking badges!,"Alfonso Bedoya as ""Gold Hat"" ",The Treasure of the Sierra Madre ,1948,
214,Movie Quote,I'll be back.,Arnold Schwarzenegger as The Terminator ,The Terminator ,1984,
215,Movie Quote,"Today, I consider myself the luckiest man on the face of the earth.",Gary Cooper as Lou Gehrig ,The Pride of the Yankees ,1942,
216,Movie Quote,"If you build it, he will come.",Ray Liotta (voice) as Shoeless Joe Jackson ,Field of Dreams ,1989,
217,Movie Quote,Mama always said life was like a box of chocolates. You never know what you're gonna get.,Tom Hanks as Forrest Gump ,Forrest Gump ,1994,
218,Movie Quote,We rob banks.,Warren Beatty as Clyde Barrow ,Bonnie and Clyde ,1967,
219,Movie Quote,Plastics.,Walter Brooke as Mr. Maguire ,The Graduate ,1967,
220,Movie Quote,We'll always have Paris.,Humphrey Bogart as Rick Blaine ,Casablanca ,1942,
221,Movie Quote,I see dead people.,Haley Joel Osment as Cole Sear ,The Sixth Sense ,1999,
222,Movie Quote,"Stella! Hey, Stella!",Marlon Brando as Stanley Kowalski ,A Streetcar Named Desire ,1951,
223,Movie Quote,"Oh, Jerry, don't let's ask for the moon. We have the stars.",Bette Davis as Charlotte Vale ,"Now, Voyager ",1942,
224,Movie Quote,Shane. Shane. Come back!,Brandon De Wilde as Joey Starrett ,Shane ,1953,
225,Movie Quote,"Well, nobody's perfect.",Joe E. Brown as Osgood Fielding III ,Some Like It Hot ,1959,
226,Movie Quote,It's alive! It's alive!,Colin Clive as Henry Frankenstein ,Frankenstein ,1931,
227,Movie Quote,"Houston, we have a problem.",Tom Hanks as Jim Lovell ,Apollo 13 ,1995,
228,Movie Quote,"""You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?""",Clint Eastwood as Harry Callahan ,Dirty Harry ,1971,
229,Movie Quote,You had me at 'hello'.,Renee Zellweger as Dorothy Boyd ,Jerry Maguire ,1996,
230,Movie Quote,"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",Groucho Marx as Capt. Geoffrey T. Spaulding ,Animal Crackers ,1930,
231,Movie Quote,There's no crying in baseball!,Tom Hanks as Jimmy Dugan ,A League of Their Own ,1992,
232,Movie Quote,"La-dee-da, la-dee-da.",Diane Keaton as Annie Hall ,Annie Hall ,1977,
233,Movie Quote,A boy's best friend is his mother.,Anthony Perkins as Norman Bates ,Psycho ,1960,
234,Movie Quote,"Greed, for lack of a better word, is good.",Michael Douglas as Gordon Gekko ,Wall Street ,1987,
235,Movie Quote,"Keep your friends close, but your enemies closer.",Al Pacino as Michael Corleone ,"""The Godfather: Part II""",1974,
236,Movie Quote,"As God is my witness, I'll never be hungry again.",Vivien Leigh as Scarlett O'Hara ,Gone with the Wind ,1939,
237,Movie Quote,"Well, here's another nice mess you've gotten me into!",Oliver Hardy as Oliver ,Sons of the Desert ,1933,
238,Movie Quote,Say hello to my little friend!,Al Pacino as Tony Montana ,Scarface ,1983,
239,Movie Quote,What a dump.,Bette Davis as Rosa Moline ,Beyond the Forest ,1949,
240,Movie Quote,"Mrs. Robinson, you're trying to seduce me. Aren't you?",Dustin Hoffman as Benjamin Braddock ,The Graduate ,1967,
241,Movie Quote,"Gentlemen, you can't fight in here! This is the War Room!",Peter Sellers as President Merkin Muffley ,Dr. Strangelove ,1964,
242,Movie Quote,"Elementary, my dear Watson.",Basil Rathbone as Sherlock Holmes ,The Adventures of Sherlock Holmes ,1939,
243,Movie Quote,"Take your stinking paws off me, you damned dirty ape!",Charlton Heston as George Taylor ,Planet of the Apes ,1968,
244,Movie Quote,"Of all the gin joints in all the towns in all the world, she walks into mine.",Humphrey Bogart as Rick Blaine ,Casablanca ,1942,
245,Movie Quote,Here's Johnny!,Jack Nicholson as Jack Torrance ,The Shining ,1980,
246,Movie Quote,They're here!,Heather O'Rourke as Carol Anne Freeling ,Poltergeist ,1982,
247,Movie Quote,Is it safe?,Laurence Olivier as Dr. Christian Szell ,Marathon Man ,1976,
248,Movie Quote,"Wait a minute, wait a minute. You ain't heard nothin' yet!",Al Jolson as Jakie Rabinowitz/Jack Robin ,The Jazz Singer ,1927,
249,Movie Quote,"No wire hangers, ever!",Faye Dunaway as Joan Crawford ,Mommie Dearest ,1981,
250,Movie Quote,"Mother of mercy, is this the end of Rico?","Edward G. Robinson as Cesare Enrico ""Rico"" Bandello ",Little Caesar ,1930,
251,Movie Quote,"Forget it, Jake, it's Chinatown.",Joe Mantell as Duffy ,Chinatown ,1974,
252,Movie Quote,I have always depended on the kindness of strangers.,Vivien Leigh as Blanche Dubois ,A Streetcar Named Desire ,1951,
253,Movie Quote,"Hasta la vista, baby.",Arnold Schwarzenegger as The Terminator ,"""Terminator 2: Judgment Day"" ",1991,
254,Movie Quote,Soylent Green is people!,Charlton Heston as Det. Robert Thorn ,Soylent Green ,1973,
255,Movie Quote,"Open the pod bay doors, HAL.",Keir Dullea as Dave Bowman ,"""2001: A Space Odyssey""",1968,
256,Movie Quote,"Striker- ""Surely you can't be serious!"" Rumack- ""I am serious... and don't call me Shirley.",Robert Hays and Leslie Nielsen as Ted Striker and Dr. Rumack ,Airplane! ,1980,
257,Movie Quote,"Yo, Adrian!",Sylvester Stallone as Rocky Balboa ,Rocky ,1976,
258,Movie Quote,"Hello, gorgeous.",Barbra Streisand as Fanny Brice ,Funny Girl ,1968,
259,Movie Quote,Toga! Toga!,"John Belushi as John ""Bluto"" Blutarsky ",National Lampoon's Animal House ,1978,
260,Movie Quote,Listen to them. Children of the night. What music they make.,Bela Lugosi as Count Dracula ,Dracula ,1931,
261,Movie Quote,"Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.",Robert Armstrong as Carl Denham ,King Kong ,1933,
262,Movie Quote,My precious.,Andy Serkis as Gollum ,"""The Lord of the Rings: The Two Towers""",2002,
263,Movie Quote,Attica! Attica!,Al Pacino as Sonny Wortzik ,Dog Day Afternoon ,1975,
264,Movie Quote,"Sawyer, you're going out a youngster, but you've got to come back a star!",Warner Baxter as Julian Marsh ,42nd Street ,1933,
265,Movie Quote,"Listen to me, mister. You're my knight in shining armor. Don't you forget it. You're going to get back on that horse, and I'm going to be right behind you, holding on tight, and away we're gonna go, go, go!",Katharine Hepburn as Ethel Thayer ,On Golden Pond ,1981,
266,Movie Quote,Tell 'em to go out there with all they got and win just one for the Gipper.,Pat O'Brien as Knute Rockne[29] ,"Knute Rockne, All American ",1940,
267,Movie Quote,"Shaken, not stirred.",Sean Connery[8] as James Bond ,Goldfinger,1964,
268,Movie Quote,Who's on first?,Bud Abbott as Dexter ,The Naughty Nineties ,1945,
